job_id,source_node,destination_node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,transfer_time_hours,deadline,extendable
3,chi,buff,0,2907.2521215313436,303.0422226679655,192621752.9785583,2907.2521215313436,0.8075700337587065,3,False
2,chi,buff,1,2079.7780782652685,216.7867263909132,192328212.40891132,2079.7780782652685,0.5777161328514635,5,False
8,chi,buff,1,1252.3040349991925,130.53123011386077,191646751.3419413,1252.3040349991925,0.3478622319442201,6,False
6,chi,buff,2,838.567013366155,87.4034819753346,190801686.0307108,838.567013366155,0.2329352814905986,8,False
4,chi,buff,3,3320.9891431643823,346.16997080649173,192713668.2507129,3320.9891431643823,0.9224969842123284,10,False
7,chi,buff,4,2907.2521215313436,303.0422226679655,192621752.9785583,2907.2521215313436,0.8075700337587065,12,False
1,chi,buff,2,2079.7780782652685,216.7867263909132,192328212.40891132,2079.7780782652685,0.5777161328514635,15,False
5,chi,buff,5,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,6,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,7,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,8,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,9,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,10,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,11,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,12,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,13,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,14,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,15,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
5,chi,buff,16,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,0.957981368828793,25,False
9,chi,buff,17,3105.8009047728037,1290.396925217901,193186884.28416547,3105.8009047728037,0.862722473548001,25,False
9,chi,buff,18,3105.8009047728037,1290.396925217901,193186884.28416547,3105.8009047728037,0.862722473548001,25,False
9,chi,buff,19,3105.8009047728037,1290.396925217901,193186884.28416547,3105.8009047728037,0.862722473548001,25,False
9,chi,buff,20,3105.8009047728037,1290.396925217901,193186884.28416547,3105.8009047728037,0.862722473548001,25,False
