job_id,node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,deadline
6,chi_buff,0,838.567013366155,87.4034819753346,190801686.0307108,838.567013366155,8
8,chi_buff,0,1252.3040349991925,130.53123011386077,191646751.3419413,1252.3040349991925,6
2,chi_buff,1,2079.7780782652685,216.7867263909132,192328212.40891132,2079.7780782652685,5
1,chi_buff,2,2079.7780782652685,216.7867263909132,192328212.40891132,2079.7780782652685,15
3,chi_buff,3,2907.252121531344,303.0422226679655,192621752.9785583,2907.252121531344,3
7,chi_buff,4,2907.252121531344,303.0422226679655,192621752.9785583,2907.252121531344,12
4,chi_buff,5,3320.989143164382,346.16997080649173,192713668.2507129,3320.989143164382,10
9,chi_buff,6,3105.800904772803,1290.396925217901,193186884.28416547,3105.800904772803,25
9,chi_buff,7,3105.800904772803,1290.396925217901,193186884.28416547,3105.800904772803,25
9,chi_buff,8,3105.800904772803,1290.396925217901,193186884.28416547,3105.800904772803,25
9,chi_buff,9,3105.800904772803,1290.396925217901,193186884.28416547,3105.800904772803,25
5,chi_buff,10,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,11,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,12,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,13,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,14,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,15,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,16,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,17,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,18,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,19,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,20,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
5,chi_buff,21,3448.7329277836548,4246.023733012838,193307710.57853508,3448.7329277836548,25
